yyyymmdd,from_ccy,to_ccy,fx_rate
20180624,GBP,AUD,1.7816
20180625,GBP,AUD,1.7913
20180626,GBP,AUD,1.7890000000000001
20180627,GBP,AUD,1.7864
20180628,GBP,AUD,1.7788
20180629,GBP,AUD,1.7839
20180701,GBP,AUD,1.7787
20180702,GBP,AUD,1.7906
20180703,GBP,AUD,1.7861
20180704,GBP,AUD,1.7912
20180705,GBP,AUD,1.7902
20180706,GBP,AUD,1.7882
20180708,GBP,AUD,1.7921
20180709,GBP,AUD,1.7758
20180710,GBP,AUD,1.7798
20180711,GBP,AUD,1.7925
20180712,GBP,AUD,1.7826
20180713,GBP,AUD,1.7806
20180715,GBP,AUD,1.7829
20180716,GBP,AUD,1.7838
20180717,GBP,AUD,1.7749
20180718,GBP,AUD,1.7667
20180719,GBP,AUD,1.7681
20180720,GBP,AUD,1.7716
20180722,GBP,AUD,1.7688
20180723,GBP,AUD,1.775
20180724,GBP,AUD,1.7706
20180725,GBP,AUD,1.7692
20180726,GBP,AUD,1.7771
20180727,GBP,AUD,1.7711
20180729,GBP,AUD,1.7718
20180730,GBP,AUD,1.7731
20180731,GBP,AUD,1.7677
20180801,GBP,AUD,1.7729
20180802,GBP,AUD,1.7686
20180803,GBP,AUD,1.7561
20180805,GBP,AUD,1.7586
20180806,GBP,AUD,1.7522
20180807,GBP,AUD,1.7437
20180808,GBP,AUD,1.7333
20180809,GBP,AUD,1.7394
20180810,GBP,AUD,1.7472
20180812,GBP,AUD,1.7525
20180813,GBP,AUD,1.7572
20180814,GBP,AUD,1.7568
20180815,GBP,AUD,1.754
20180816,GBP,AUD,1.7512
20180817,GBP,AUD,1.7431
20180819,GBP,AUD,1.742
20180820,GBP,AUD,1.7436
20180821,GBP,AUD,1.751
20180822,GBP,AUD,1.757
20180823,GBP,AUD,1.7677
20180824,GBP,AUD,1.7524
20180826,GBP,AUD,1.7522
20180827,GBP,AUD,1.7538
20180828,GBP,AUD,1.7543
20180829,GBP,AUD,1.7819
20180830,GBP,AUD,1.7911
20180831,GBP,AUD,1.8024
20180902,GBP,AUD,1.7951
20180903,GBP,AUD,1.7841
20180904,GBP,AUD,1.7907
20180905,GBP,AUD,1.7942
20180906,GBP,AUD,1.7957
20180907,GBP,AUD,1.8182
20180909,GBP,AUD,1.8199
20180910,GBP,AUD,1.831
20180911,GBP,AUD,1.8307
20180912,GBP,AUD,1.8195
20180913,GBP,AUD,1.8214
20180914,GBP,AUD,1.8268
20180916,GBP,AUD,1.8266
20180917,GBP,AUD,1.8319999999999999
20180918,GBP,AUD,1.8213
20180919,GBP,AUD,1.8098
20180920,GBP,AUD,1.8191
20180921,GBP,AUD,1.7935
20180923,GBP,AUD,1.8009
20180924,GBP,AUD,1.8091
20180925,GBP,AUD,1.8186
