yyyymmdd,portfolio,mkt_val,weight
2019-11-25,LPPI  GF BARON BNYMILTD BRZEX589145,19882006.237391338,0.002906068824829511
2019-11-25,LPPI GEF BARON BNYMILTD,322981489.2713771,0.04720883927716281
2019-11-25,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-25,LPPI GEF FIRST EAGLE BNYMILTD,865794090.6687855,0.1265494631463458
2019-11-25,LPPI GEF INTERNAL EQUITY BNYMILTD,2871995073.060563,0.4197873819790301
2019-11-25,LPPI GEF INTRNL INCUBATOR BNYMILTD,11552688.72659094,0.0016886076862890214
2019-11-25,LPPI GEF MAGELLAN BNYMILTD,995760086.9722753,0.14554604355356707
2019-11-25,LPPI GEF ROBECO BNYMILTD,1043107468.4417113,0.15246661019974733
2019-11-25,LPPI GEF WELLINGTON BNYMILTD,707703116.5150603,0.10344197359073705
2019-11-25,LPPI GF FT EGL BNYMILTD BRZEX650557,2770906.840773209,0.0004050117422925822
2019-11-26,LPPI  GF BARON BNYMILTD BRZEX589145,19443128.816671256,0.002820240762461885
2019-11-26,LPPI GEF BARON BNYMILTD,327775035.11331534,0.04754402049485622
2019-11-26,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-26,LPPI GEF FIRST EAGLE BNYMILTD,868188278.4748981,0.1259313763506563
2019-11-26,LPPI GEF INTERNAL EQUITY BNYMILTD,2892680526.909541,0.41958553130476584
2019-11-26,LPPI GEF INTRNL INCUBATOR BNYMILTD,11674596.802661367,0.0016934092294827324
2019-11-26,LPPI GEF MAGELLAN BNYMILTD,1004057793.2176017,0.14563935377889467
2019-11-26,LPPI GEF ROBECO BNYMILTD,1052789405.7543339,0.15270791159139804
2019-11-26,LPPI GEF WELLINGTON BNYMILTD,714840292.1367532,0.10368813319827529
2019-11-26,LPPI GF FT EGL BNYMILTD BRZEX650557,2688874.352336363,0.00039002328920925185
2019-11-27,LPPI  GF BARON BNYMILTD BRZEX589145,19313783.038664006,0.0027986332305698367
2019-11-27,LPPI GEF BARON BNYMILTD,329638721.25125855,0.047765778331956166
2019-11-27,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-27,LPPI GEF FIRST EAGLE BNYMILTD,865905473.4352121,0.12547266517578748
2019-11-27,LPPI GEF INTERNAL EQUITY BNYMILTD,2897998557.0225215,0.4199299043377723
2019-11-27,LPPI GEF INTRNL INCUBATOR BNYMILTD,11689776.05260503,0.0016938885382137415
2019-11-27,LPPI GEF MAGELLAN BNYMILTD,1009227835.7288277,0.14624056574688282
2019-11-27,LPPI GEF ROBECO BNYMILTD,1052153634.0745589,0.1524606607670355
2019-11-27,LPPI GEF WELLINGTON BNYMILTD,712604263.0943613,0.10325879538717049
2019-11-27,LPPI GF FT EGL BNYMILTD BRZEX650557,2616283.8845525505,0.00037910848461201275
2019-11-28,LPPI  GF BARON BNYMILTD BRZEX589145,19844900.09239241,0.002878031424789646
2019-11-28,LPPI GEF BARON BNYMILTD,330145637.59483576,0.04787978348751682
2019-11-28,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-28,LPPI GEF FIRST EAGLE BNYMILTD,866159037.2882551,0.1256157963292936
2019-11-28,LPPI GEF INTERNAL EQUITY BNYMILTD,2888216284.566121,0.41886717443123134
2019-11-28,LPPI GEF INTRNL INCUBATOR BNYMILTD,11673394.690388752,0.0016929486465790114
2019-11-28,LPPI GEF MAGELLAN BNYMILTD,1010304120.5083779,0.1465206170794604
2019-11-28,LPPI GEF ROBECO BNYMILTD,1053048603.9169866,0.1527196891792759
2019-11-28,LPPI GEF WELLINGTON BNYMILTD,713148211.6704217,0.10342521021342044
2019-11-28,LPPI GF FT EGL BNYMILTD BRZEX650557,2763287.4106103443,0.0004007492084331992
2019-11-29,LPPI  GF BARON BNYMILTD BRZEX589145,19647305.946863253,0.0028648729077374864
2019-11-29,LPPI GEF BARON BNYMILTD,326566604.8937283,0.04761832596601984
2019-11-29,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-29,LPPI GEF FIRST EAGLE BNYMILTD,860939533.5005357,0.1255379415069177
