yyyymmdd,portfolio,var_%_mv,cvar_%_mv,volatility_1yr,volatility_1yr_vs_msci
2020-01-13,LPPI GEF MAGELLAN BNYMILTD,0.2079324715,0.27932103399999997,0.1229108827,
2020-01-13,LPPI GEF ROBECO BNYMILTD,0.16359691,0.22235803369999999,0.0980585286,
2020-01-13,LPPI GEF WELLINGTON BNYMILTD,0.187686317,0.2545135359,0.1147893586,
2020-01-13,LPPI GF FT EGL BNYMILTD BRZEX650557,0.7605095363,1.0033467591,0.46765388369999994,
2020-01-13,OVERALL,0.17902591369999998,0.24031474509999998,0.105577269,0.11381453929999999
2020-01-14,LPPI GF FT EGL BNYMILTD BRZEX650557,0.7605117742999999,1.0035603717,0.46765388369999994,
2020-01-14,LPPI  GF BARON BNYMILTD BRZEX589145,0.4249043199,0.5763414018,0.2551145352,
2020-01-14,LPPI GEF BARON BNYMILTD,0.2164365364,0.29473686109999997,0.1275111841,
2020-01-14,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.2102871975,0.28239334580000003,0.1325965097,
2020-01-14,LPPI GEF MAGELLAN BNYMILTD,0.20769075709999998,0.2794722059,0.12273085610000001,
2020-01-14,LPPI GEF INTERNAL EQUITY BNYMILTD,0.198663238,0.2639424012,0.11513660379999999,
2020-01-14,LPPI GEF WELLINGTON BNYMILTD,0.1879356687,0.254760337,0.1146393191,
2020-01-14,OVERALL,0.1786561768,0.2405691403,0.1054859746,0.1137798816
2020-01-14,LPPI GEF ROBECO BNYMILTD,0.16384164169999998,0.22271905230000003,0.0980056895,
2020-01-14,LPPI GEF FIRST EAGLE BNYMILTD,0.1535348865,0.2073001049,0.0907410608,
2020-01-14,LPPI GEF CASH ONLY BNYMILTD,1.9999999999999997e-09,2.9e-09,1.2e-09,
2020-01-15,LPPI  GF BARON BNYMILTD BRZEX589145,0.4235874648,0.5739562212,0.2542498916,
2020-01-15,LPPI GEF BARON BNYMILTD,0.2157460944,0.2942045296,0.1274761092,
2020-01-15,LPPI GEF CASH ONLY BNYMILTD,1.9999999999999997e-09,2.9e-09,1.2e-09,
2020-01-15,LPPI GEF FIRST EAGLE BNYMILTD,0.1524305248,0.2066468034,0.0905837807,
2020-01-15,LPPI GEF INTERNAL EQUITY BNYMILTD,0.19797110069999999,0.2635490636,0.1151972152,
2020-01-15,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.20969310289999998,0.282246149,0.13265599,
2020-01-15,LPPI GEF MAGELLAN BNYMILTD,0.2069796877,0.2791723188,0.1227942921,
2020-01-15,LPPI GEF ROBECO BNYMILTD,0.1635556095,0.22206948229999998,0.0978935963,
2020-01-15,LPPI GEF WELLINGTON BNYMILTD,0.1875241281,0.2541651904,0.1145221056,
2020-01-15,LPPI GF FT EGL BNYMILTD BRZEX650557,0.7594877649999999,1.0025631792,0.46765388369999994,
